Name,Latitude,Longitude,URL,Location,info,applicationDeadline,percentOfAdmitted,SATT,SATR,SATM,SATW,ACTC,ACTE,ACTM,tuition,in_state,out_state,room,book,undergraduate,category,setting,student_faculty,percentOfWomen
University of Southern California  USC ,34.0223519,-118.285117,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/10/11/197496/1100917_University_of_Southern_California.jpg,"Los Angeles, CA","USC, founded in 1880, is a private, comprehensive university and one of the world’s leading private research universities. The 155-acre   is located in downtown Los Angeles.  An anchor institution in Los Angeles, a global center for arts, technology and international trade, USC enrolls more international students than any other U.S. university and offers extensive opportunities for internships and study abroad. With a strong tradition of integrating liberal and professional education, USC fosters a vibrant culture of public service and encourages students to cross academic as well .....","Regular Decision: Jan 10, 2015","20%
         
          of Applicants Admitted",1910-2220 SAT Total,620-720 SAT Reading,650-760 SAT Math,640-740 SAT Writing,29-33 ACT Composite,29-34 ACT English,28-34 ACT Math,"$59,142

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $43,722","Out-of-State Tuition: $43,722","Room and Board: $1,480","Books & Supplies: $1,500","19,094number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 9:1,23% Women
University of Miami,25.7179436,-80.2781784,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/10/19/miami.jpg,"Coral Gables, FL","A private research university with approximately 10,000 full-time degree-seeking undergraduates and 5,000 full-time degree-seeking graduates from around the world, the University of Miami is a vibrant and diverse academic community focused on teaching and learning, the discovery of new knowledge, and service to the South Florida region and beyond.

The University is comprised of 12 schools and colleges serving undergraduate and graduate students in more than 180 majors and programs.  U.S. News & World Report ranked UM #47 on their 2014 “Best Colleges” national list, resulting in the .....","Regular Decision: Jan 1, 2015
			Early Decision: Nov 1, 2014Early Action: Nov 1, 2014","40%
         
          of Applicants Admitted",1820-2110 SAT Total,600-700 SAT Reading,630-720 SAT Math,590-690 SAT Writing,28-32 ACT Composite,29-34 ACT English,27-33 ACT Math,"$57,542

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $43,040","Out-of-State Tuition: $43,040","Room and Board: $12,684",Books & Supplies: $930,"11,380number of undergraduates",,Setting: suburban,Student/Faculty ratio: 12:1,51% Women
UC Santa Barbara  UCSB ,34.4139629,-119.848947,http://z2.cheggcdn.com/sites/default/files/2007/10/10/196484_53bc2d3b64fd7_ucsb_aerial_zinch.jpg,"Santa Barbara, CA","The vast majority of students live within walking distance of their classes. Seven miles of bikeways link this close-knit academic community, giving students easy access to a rich array of social, cultural, academic, and athletic events.As an institution, we are very much like many of our undergraduates: vibrant, energetic, and eager to begin the serious business of inventing the future. We are too young to be complacent, too excited by unfolding possibilities to retreat into ivy-covered towers.The preeminent scholarship, instruction, and public service that define .....","Regular Decision: Nov 30, 2014","36%
         
          of Applicants Admitted",1630-1990 SAT Total,520-640 SAT Reading,540-660 SAT Math,530-650 SAT Writing,23-29 ACT Composite,22-29 ACT English,23-29 ACT Math,"$32,607

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $18,928","Out-of-State Tuition: $41,806","Room and Board: $13,805","Books & Supplies: $1,444","19,362number of undergraduates",public,Setting: suburban,Student/Faculty ratio: 18:1,52% Women
Harvard University,42.3770029,-71.1166600999999,http://z2.cheggcdn.com/sites/default/files/2010/12/16/harvard_university_0.jpg,"Cambridge, MA","Harvard, founded in 1636, is a private, Ivy League university. Radcliffe was established as an annex for women in 1879; all classes and facilities are now coeducational. Its 380-acre campus is located in Cambridge, across the Charles River from Boston. Campus architecture ranges from Bulfinch to H.H. Richardson to Le Corbusier.","Regular Decision: Jan 1, 2015","6%
         
          of Applicants Admitted",2120-2390 SAT Total,700-800 SAT Reading,710-790 SAT Math,710-800 SAT Writing,32-35 ACT Composite,33-35 ACT English,31-35 ACT Math,"$54,660

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $37,576","Out-of-State Tuition: $37,576","Room and Board: $2,454","Books & Supplies: $1,000","14,495number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 7:1,22% Women
Princeton University,40.3487,74.6593,http://z2.cheggcdn.com/sites/default/files/2011/02/shieldonly.jpg,"Princeton, NJ","Princeton University is a vibrant community of scholarship and learning that stands in the nation's service and in the service of all nations. Chartered in 1746, Princeton is the fourth-oldest college in the United States. Princeton is an independent, coeducational, nondenominational institution that provides undergraduate and graduate instruction in the humanities, social sciences, natural sciences and engineering.","Regular Decision: Jan 1, 2015
			Early Action: Nov 1, 2014","8%
         
          of Applicants Admitted",2120-2390 SAT Total,700-790 SAT Reading,710-800 SAT Math,710-800 SAT Writing,31-35 ACT Composite,32-35 ACT English,30-35 ACT Math,"$53,893

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $38,650","Out-of-State Tuition: $38,650","Room and Board: $1,413","Books & Supplies: $1,200","5,240number of undergraduates",private-non-profit,Setting: suburban,Student/Faculty ratio: 6:1,32% Women
Columbia University in the City of New York,40.8075355,-73.9625727,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/7/127225/Columbia_AO-09-09-2008-13-37-53.jpg,"New York, NY","Columbia University in the City of New York lies at the crossroads of the world. Our exhilarating intellectual reach comprises pioneering work in the sciences, creative visionaries in the arts, standard-setting work in the humanities, mindbending innovations in engineering. Every Columbia undergraduate - 4,100 in Columbia College and 1,400 in Columbia Engineering - studies the world's major texts in our remarkable Core Curriculum. Our students choose from nearly 100 areas of study and take advantage of hundreds of extracurricular, research, internship and study abroad .....","Regular Decision: Jan 1, 2015
			Early Decision: Nov 1, 2014","7%
         
          of Applicants Admitted",2100-2360 SAT Total,700-780 SAT Reading,700-790 SAT Math,700-790 SAT Writing,32-35 ACT Composite,33-35 ACT English,32-35 ACT Math,"$59,322

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $45,028","Out-of-State Tuition: $45,028","Room and Board: $1,858","Books & Supplies: $1,040","7,967number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 6:1,14% Women
UC Davis  University of California-Davis ,38.5387317,-121.732550599999,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/02/10/ucdavis_1.png,"Davis, CA","The University of California, Davis, is located in the heart of Northern California, 20 minutes west of the state capital, Sacramento, and 90 minutes from the world-famous San Francisco Bay Area and beautiful Lake Tahoe. 

UC Davis is known for its excellence in research and dedication to undergraduate academic pursuits. It offers all the benefits that come with being a part of California's renowned public university system while keeping the friendly, safe atmosphere associated with private college campuses. 

Ranked ninth in the nation among public universities  U.S. News & World .....","Regular Decision: Nov 30, 2014","40.6%
         
          of Applicants Admitted",1810-2120 SAT Total,560-690 SAT Reading,620-750 SAT Math,590-710 SAT Writing,27-32 ACT Composite,-29 ACT Math,,"$33,685

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $13,896","Out-of-State Tuition: $36,774","Room and Board: $14,218","Books & Supplies: $1,560","26,663number of undergraduates",public,Setting: suburban,Student/Faculty ratio: 17:1,56% Women
Florida State University,30.4418778,-84.2984889,http://z2.cheggcdn.com/sites/default/files/2011/05/09/3328881_52fd86d809783_florida_state_university_seal.jpg,"Tallahassee, FL","Florida State, founded in 1851, is a public, comprehensive university. Its 463-acre campus is located within a mile of downtown Tallahassee.

The Florida State University preserves, expands, and disseminates knowledge in the sciences, technology, arts, humanities, and professions, while embracing a philosophy of learning strongly rooted in the traditions of the liberal arts. The university is dedicated to excellence in teaching, research, creative endeavors, and service. The university strives to instill the strength, skill, and character essential for lifelong learning, personal .....","Regular Decision: Jan 15, 2015","54%
         
          of Applicants Admitted",560-640 SAT Reading,560-640 SAT Math,,,25-29 ACT Composite,,,"$19,105

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $4,587","Out-of-State Tuition: $19,032","Room and Board: $3,892","Books & Supplies: $1,000","36,369number of undergraduates",public,Setting: city,Student/Faculty ratio: 27:1,43% Women
Michigan State University  MSU ,42.701848,-84.4821719,http://z2.cheggcdn.com/sites/default/files/2011/05/16/michigan_state_profile_pic.jpg,"East Lansing, MI","Michigan State University Spartans work to advance the common good in uncommon ways. The nation’s pioneer land-grant university, MSU began as a bold experiment that democratized higher education and helped bring science and innovation into everyday life. Today, MSU is one of the top research universities in the world—on one of the biggest, greenest campuses in the nation—and is home to a diverse community of dedicated students and scholars, athletes and artists, scientists and leaders.","Regular Decision: Nov 1, 2014
			Early Action: Oct 16, 2014","68%
         
          of Applicants Admitted",1430-1840 SAT Total,430-580 SAT Reading,540-680 SAT Math,460-580 SAT Writing,24-28 ACT Composite,24-29 ACT English,23-28 ACT Math,"$23,510

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $13,246","Out-of-State Tuition: $35,026","Room and Board: $9,204","Books & Supplies: $1,060","37,988number of undergraduates",public,Setting: rural,Student/Faculty ratio: 17:1,50% Women
University of California-Irvine  UC Irvine ,33.6404952,-117.8442962,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/08/16/uci_seal_289.jpg,"Irvine, CA","A top choice for undergraduate and graduate education, students who attend UC Irvine discover easy accessibility to stellar faculty for research and mentoring; excellent professional schools in the fields of medicine; business, education, and the arts; a beautiful campus in one of the safest big cities in the nations; award winning student housing; exciting campus events throughout the year; and unparalleled leadership preparation to succeed in your desired career.","Regular Decision: Nov 30, 2014","47%
         
          of Applicants Admitted",1530-1920 SAT Total,490-610 SAT Reading,540-680 SAT Math,500-630 SAT Writing,21-27 ACT Composite,21-28 ACT English,23-29 ACT Math,"$28,126

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $11,220","Out-of-State Tuition: $34,098","Room and Board: $3,633","Books & Supplies: $1,567","23,765number of undergraduates",public,Setting: city,Student/Faculty ratio: 19:1,43% Women
Vanderbilt University,36.1447034,-86.8026550999999,http://z2.cheggcdn.com/sites/default/files/2012/04/19/9001334_50f059def2171_vanderbilt_university.jpg,"Nashville, TN","Vanderbilt offers undergraduate programs in the liberal arts and sciences, engineering, music, education and human development, as well as a full range of graduate and professional degrees. The combination of cutting edge research, liberal arts, nationally recognized schools of business and divinity and a distinguished medical center creates an invigorating atmosphere where students tailor their education to meet their goals and researchers collaborate to solve complex questions affecting our health, culture and society.

Vanderbilt provides a gateway to greatness, drawing the best and .....","Regular Decision: Jan 1, 2015
			Early Decision: Nov 1, 2014","14%
         
          of Applicants Admitted",2070-2330 SAT Total,690-770 SAT Reading,710-790 SAT Math,670-770 SAT Writing,32-34 ACT Composite,32-35 ACT English,30-34 ACT Math,"$58,860

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $41,088","Out-of-State Tuition: $41,088","Room and Board: $2,584","Books & Supplies: $1,370","6,988number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 8:1,26% Women
Cornell University,42.4534492,-76.4735026999999,http://z2.cheggcdn.com/sites/default/files/2011/03/18/cornell_clocktower_spring.jpg,"Ithaca, NY","Cornell, founded in 1865, is an Ivy League University and the New York State land-grant institution. Programs are offered through the Colleges of Agriculture and Life Sciences; Architecture, Art, and Planning; Arts and Sciences; Engineering; and Human Ecology; and the Schools of Hotel Administration and Industrial and Labor Relations. Its 745-acre campus is located in Ithaca, 45 miles from Syracuse.","Regular Decision: Jan 2, 2015
			Early Decision: Nov 1, 2014","17%
         
          of Applicants Admitted",640-740 SAT Reading,670-780 SAT Math,,,30-33 ACT Composite,,,"$59,363

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $43,185","Out-of-State Tuition: $43,185","Room and Board: $1,680",Books & Supplies: $820,"14,458number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 12:1,33% Women
Duke University,41.9197689,-91.6495009999999,http://z2.cheggcdn.com/sites/default/files/2011/05/04/duke_university_pf.jpg,"Durham, NC","Duke University is a world-renowned research institution situated on over 9,000 forested acres in Durham, a city of over 250,000 in the Research Triangle area of North Carolina.  Home to over 6,500 undergraduates, the University offers majors in more than 40 academic disciplines ranging from Biomedical Engineering to International Comparative Studies. 

With its outstanding faculty, research facilities, and commitment to applying knowledge for the improvement of society, Duke consistently ranks among the nation’s top universities year after year.","Regular Decision: Jan 1, 2015
			Early Decision: Nov 1, 2014","14%
         
          of Applicants Admitted",2020-2300 SAT Total,660-750 SAT Reading,690-780 SAT Math,670-770 SAT Writing,30-34 ACT Composite,31-35 ACT English,30-35 ACT Math,"$58,213

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $42,308","Out-of-State Tuition: $42,308","Room and Board: $2,122","Books & Supplies: $1,350","7,284number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 7:1,22% Women
Texas A & M University,30.6149186,-96.3423158,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/10/192859/TAMU_AO-11-12-2008-10-09-31.jpg,"College Station, TX","Texas A&M at College Station, founded in 1876, is a public, comprehensive university. Programs are offered through the Colleges of Agriculture, Architecture, Business Administration, Education, Engineering, Geosciences, Liberal Arts, Medicine, Science, and Veterinary Medicine. Its 5,200-acre campus is located in College Station, 90 miles northwest of Houston.","Regular Decision: Jan 15, 2015","67%
         
          of Applicants Admitted",1580-1920 SAT Total,520-640 SAT Reading,560-670 SAT Math,500-610 SAT Writing,24-30 ACT Composite,23-30 ACT English,24-30 ACT Math,"$17,703

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,297","Out-of-State Tuition: $21,826","Room and Board: $2,734","Books & Supplies: $1,272","42,053number of undergraduates",public,Setting: city,Student/Faculty ratio: 21:1,37% Women
Boston University  BU ,42.3504997,-71.1053991,http://z2.cheggcdn.com/sites/default/files/2011/04/25/master_logo.gif,"Boston, MA","Boston University is a private university ranked #42 in the US and #37 in the world by U.S. News & World Report. With an average class size of 27 and a 13:1 student-to-faculty ratio, students work closely with distinguished professors. As early as freshman year, they can participate in faculty research in medicine, science, engineering, business, the humanities or arts. Over 250 majors, global courses, and one of the top 20 study abroad programs make BU’s opportunities vast and varied. Boston is an extension of our campus for study, internships, employment, and cultural activities. Housing .....","Regular Decision: Dec 1, 2014
			Early Decision: Nov 1, 2014","34%
         
          of Applicants Admitted",1780-2050 SAT Total,570-670 SAT Reading,610-700 SAT Math,600-680 SAT Writing,26-30 ACT Composite,26-32 ACT English,25-30 ACT Math,"$58,506

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $45,686","Out-of-State Tuition: $45,686","Room and Board: $14,030","Books & Supplies: $1,000","15,906number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 13:1,34% Women
University of Notre Dame  ND ,41.7019875,-86.2375536,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/09/12/nd.jpg,"Notre Dame, IN","University of Notre Dame is a private Catholic university that was founded in 1842 by Rev. Edward F. Sorin, C.S.C., of the Congregation of Holy Cross.Its global reputation for excellence shows in its applicants: seventy-four percent of incoming freshmen were in the top five percent of their high school graduating classes.The university's undergraduate program was ranked 19th among national universities by U.S. News & World Report for 2010-2011.But a Notre Dame education goes far beyond academics. The university's mission is to use that education to better .....","Regular Decision: Jan 1, 2015
			Early Action: Nov 1, 2014","23%
         
          of Applicants Admitted",660-750 SAT Reading,680-770 SAT Math,,,31-34 ACT Composite,,,"$62,461

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $46,237","Out-of-State Tuition: $42,464","Room and Board: $13,224","Books & Supplies: $1,050","8,604number of undergraduates",private-non-profit,Setting: suburban,31% Women,
University of Georgia  UGA ,31.4940542,-83.5177089999999,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/8/174742/1100722_University_of_Georgia.jpg,"Athens, GA","The University of Georgia, founded in 1785, is a public university. Programs are offered through the Colleges of Agricultural and Environmental Sciences, Arts and Sciences, Business, Education, Family and Consumer Sciences, Journalism and Mass Communication, Pharmacy, and Veterinary Medicine; the Schools of Environmental Design, Forest Resources, Law, and Social Work; the Graduate School; and the Center for Continuing Education. Its 605-acre   is located in Athens, 80 miles east of Atlanta.","Regular Decision: Jan 15, 2015
			Early Action: Oct 15, 2014","63%
         
          of Applicants Admitted",1680-1960 SAT Total,560-650 SAT Reading,560-660 SAT Math,560-650 SAT Writing,25-30 ACT Composite,25-31 ACT English,25-29 ACT Math,"$19,054

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $7,646","Out-of-State Tuition: $25,856","Room and Board: $1,590",Books & Supplies: $848,"29,024number of undergraduates",public,Setting: city,Student/Faculty ratio: 18:1,43% Women
Texas Tech University,33.5842591,-101.8782822,http://z2.cheggcdn.com/sites/default/files/2010/12/16/texas_tech_university_pf.png,"Lubbock, TX","Texas Tech University is a national research university that sits under the bright blue skies of west Texas.  It's a large school, with more than 33,000 students pursuing 150 degree programs in 10 colleges, including an Honors College. Texas Tech prides itself in maintaining the feeling of a smaller liberal arts institution.  It also boasts a vibrant student life. Students cheer on the Red Raiders fighting for victory in the Big 12 conference. They participate in Greek life, community service,  and over 450 clubs and organizations.They also get to enjoy the .....","Regular Decision: Aug 1, 2015","66.4%
         
          of Applicants Admitted",1460-1770 SAT Total,480-580 SAT Reading,510-620 SAT Math,470-570 SAT Writing,21-26 ACT Composite,20-26 ACT English,21-27 ACT Math,"$23,326

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $9,242","Out-of-State Tuition: $19,772","Room and Board: $8,464","Books & Supplies: $1,200","27,044number of undergraduates",public,Setting: city,Student/Faculty ratio: 23:1,44% Women
University of Central Florida  UCF ,28.6024276,-81.2000598999999,http://z2.cheggcdn.com/sites/default/files/2011/05/16/3409411_519eaeb192ff4_ucf_logo_color.jpg,"Orlando, FL","The University of Central Florida, founded in 1963, is the second-largest university in the nation. Located in Orlando, Florida, UCF and its 12 colleges provide opportunities to 59,300 students, offering 177 bachelor’s and master’s degrees and 30 doctoral programs. Students come from all 50 states and 145 countries. The Princeton Review and Kiplinger’s named UCF a best-value university, and Forbes named UCF one of the nation’s 50 most-affordable colleges. In 2010-11, UCF awarded $408 million in financial aid to students.","Regular Decision: May 1, 2015","46%
         
          of Applicants Admitted",1590-1890 SAT Total,530-630 SAT Reading,550-650 SAT Math,510-610 SAT Writing,24-28 ACT Composite,,,"$18,948

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $4,426","Out-of-State Tuition: $19,757","Room and Board: $4,076","Books & Supplies: $1,146","58,273number of undergraduates",public,Setting: suburban,Student/Faculty ratio: 32:1,46% Women
